@relation 'mushrooms-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A12-Nunknown-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-L1-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A 12 -N unknown -R 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 12 -L 1-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-last-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-last'

@attribute class {p,e}
@attribute cap-shape numeric
@attribute cap-surface numeric
@attribute cap-color numeric
@attribute bruises numeric
@attribute odor numeric
@attribute gill-attachment numeric
@attribute gill-spacing numeric
@attribute gill-size numeric
@attribute gill-color numeric
@attribute stalk-shape numeric
@attribute stalk-root numeric
@attribute stalk-surface-above-ring numeric
@attribute stalk-surface-below-ring numeric
@attribute stalk-color-above-ring numeric
@attribute stalk-color-below-ring numeric
@attribute veil-color numeric
@attribute ring-number numeric
@attribute ring-type numeric
@attribute spore-print-color numeric
@attribute population numeric
@attribute habitat numeric

@data
e,0,2,3,1,3,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
e,3,2,2,1,3,0,1,1,0,1,1,0,1,0,0,0,0,1,1,2,1
e,0,1,1,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,1,1,2
e,1,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1
e,1,1,2,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,2
e,0,1,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1
e,0,0,0,1,3,0,1,1,3,1,1,1,0,0,0,0,0,1,1,2,1
e,0,1,2,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1
e,2,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
e,0,0,2,0,1,0,1,0,4,1,3,0,0,0,0,0,0,0,2,3,3
e,0,1,0,0,2,0,0,1,4,0,4,0,2,0,0,0,0,0,0,0,1
e,1,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1
e,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1
e,1,1,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2
e,1,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1
e,1,0,1,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2
e,1,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1
e,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0
e,3,1,0,0,2,0,0,1,1,0,4,0,2,0,0,0,0,0,1,4,1
e,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1
e,3,1,1,0,2,0,0,1,4,0,4,0,2,0,0,0,0,0,1,4,4
e,1,0,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1
e,1,0,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,2
e,0,1,0,0,2,0,0,1,4,0,4,0,2,0,0,0,0,0,0,4,1
e,1,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1
e,0,2,3,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,4,0
e,1,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1
e,0,2,1,0,2,0,1,0,1,1,3,0,0,0,0,0,0,0,2,3,3
e,1,1,1,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1
e,3,1,1,0,2,0,0,1,3,0,4,0,2,0,0,0,0,0,1,0,1
e,1,1,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,2
e,1,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2
e,1,1,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1
e,0,1,1,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,2
e,1,0,1,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,1
p,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0
e,2,2,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,4,0
e,3,2,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0
e,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,2
e,3,1,0,0,1,0,0,1,3,0,4,0,2,0,0,0,0,0,0,0,4
p,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
e,1,0,2,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,2
e,3,2,3,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0
e,1,1,1,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,1
e,0,1,0,0,1,0,0,1,4,0,4,0,2,0,0,0,0,0,1,4,4
e,0,2,2,1,3,0,1,1,3,1,1,0,1,0,0,0,0,1,0,0,1
e,0,0,2,0,2,0,1,0,4,1,3,0,0,0,0,0,0,0,1,3,3
e,1,0,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,2
e,3,0,1,0,1,0,1,0,4,1,3,0,0,0,0,0,0,0,1,3,3
e,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2
e,3,2,3,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,4,0
e,1,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1
e,0,0,2,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,2
e,0,1,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,2
e,3,0,2,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,1,3,3
e,0,1,1,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1
e,1,0,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1
e,0,0,2,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,1
e,0,2,2,1,3,0,1,1,5,1,1,1,0,0,0,0,0,1,0,0,1
e,3,1,0,0,2,0,0,1,1,0,4,0,2,0,0,0,0,0,0,4,4
p,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0
e,1,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1
e,1,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2
e,1,1,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1
e,1,1,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,1
e,0,0,1,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1
e,1,0,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,2
e,0,2,1,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,1,3,3
e,0,2,3,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0
e,3,1,1,0,1,0,0,1,1,0,4,0,2,0,0,0,0,0,1,0,1
e,1,0,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2
e,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1
e,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1
e,0,1,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1
e,2,2,3,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0
e,0,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2
p,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
e,0,1,1,0,1,0,0,1,1,0,4,0,2,0,0,0,0,0,1,0,1
e,3,2,2,0,1,0,1,0,3,1,3,0,0,0,0,0,0,0,1,3,3
e,0,1,2,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,2
e,1,1,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1
e,0,0,2,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,1
e,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1
p,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0
e,1,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1
e,0,2,3,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0
p,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e,0,1,1,0,2,0,0,1,1,0,4,0,2,0,0,0,0,0,1,4,4
e,3,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
e,1,0,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1
e,0,2,2,0,2,0,1,0,4,1,3,0,0,0,0,0,0,0,1,3,3
e,0,1,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1
e,1,1,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1
e,0,1,1,0,2,0,0,1,1,0,4,0,2,0,0,0,0,0,0,0,1
e,3,1,1,0,1,0,0,1,3,0,4,0,2,0,0,0,0,0,0,0,4
e,3,1,1,0,1,0,0,1,4,0,4,0,2,0,0,0,0,0,0,4,4
e,0,0,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1
e,0,0,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,1,1,2
p,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0
e,3,2,2,0,1,0,1,0,3,1,3,0,0,0,0,0,0,0,2,3,3
e,0,0,2,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1
e,0,0,2,0,2,0,1,0,3,1,3,0,0,0,0,0,0,0,2,3,3
e,0,1,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2
e,3,1,1,0,2,0,0,1,4,0,4,0,2,0,0,0,0,0,0,4,4
e,0,0,0,1,3,0,1,1,3,1,1,1,0,0,0,0,0,1,0,0,1
e,3,1,1,0,1,0,0,1,4,0,4,0,2,0,0,0,0,0,1,4,1
p,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1
e,2,2,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,3,0
e,1,1,1,0,2,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,2
e,1,0,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1
e,1,1,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2
e,3,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0
e,0,0,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,2
e,1,1,2,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,1
e,1,1,2,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,2
e,3,1,0,0,2,0,0,1,4,0,4,0,2,0,0,0,0,0,1,0,1
p,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1
e,0,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1
e,0,1,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,2
e,3,2,2,0,2,0,1,0,4,1,3,0,0,0,0,0,0,0,2,3,3
e,3,2,3,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0
e,3,0,3,1,3,0,1,1,3,1,1,0,0,0,0,0,0,1,0,2,1
e,0,1,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,2
e,1,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2
p,3,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
e,0,0,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2
p,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,0
e,0,1,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1
e,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2
e,3,1,1,0,1,0,0,1,1,0,4,0,2,0,0,0,0,0,1,0,4
e,0,1,0,0,1,0,0,1,4,0,4,0,2,0,0,0,0,0,1,0,4
e,3,1,0,0,1,0,0,1,4,0,4,0,2,0,0,0,0,0,1,4,1
e,0,1,2,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,1,1,2
e,3,2,0,1,3,0,1,1,5,1,1,0,0,0,0,0,0,1,0,0,1
e,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2
p,0,1,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1
e,1,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2
e,2,2,0,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0
e,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2
e,1,1,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2
e,3,1,0,0,1,0,0,1,1,0,4,0,2,0,0,0,0,0,0,0,1
e,1,1,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2
e,1,1,2,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1
e,0,1,0,0,2,0,0,1,1,0,4,0,2,0,0,0,0,0,1,4,4
